HH  RF275I  ETF TXT CONFIRM               20260218 20260218 192841                                                                                                                                                                                                                                                                                                               
FUND,DESCRIPTION,CUSIP,SEDOL,ISIN,TICKER,TRANSACTION,SHARES,LOCAL_PRICE,LOCAL_NET_AMOUNT,TRADE_CURR,FOREX,BASE_PRICE,BASE_NET_AMOUNT,BASE_CURRENCY,TRADE_COUNTRY,LOCAL_ACCRUED_INTEREST,BASE_ACCRUED_INTEREST,ORIGINAL_FACE,PAR_ADJUSTMENT_FACTOR,CIL,BROKER,SETTLEMENT_LOCATION,SETTLEMENT_BROKER,TRADE_DATE,SETTLEMENT_DATE,PAYMENT_METHOD,MAJOR_TYPE,ISSUE_TYPE,CIL_FEE,ORDER_NUMBER,FACTORABLE,SUPPLEMENTAL_ID_1 ,SUPPLEMENTAL_ID_2
HRA1,CASH COUPON CAD,'14799D9W9,,,,SELL,-57000,100,-57000,CAD,1,100,-57000,CAD,CA,0,0,-57000,1,Y,A2777,CAN,A2777,20260218,20260219,FOP,10,018,0,9623655,N,-23202000,
HRA1,HARVEST HEALTHCARE LEADERS I,'41755F958,'BFXHBY3,CA41755F1071,'HHL,SELL,37592,7.69,289082.48,CAD,1,7.69,289082.48,CAD,CA,0,0,0,1,N,A2777,CAN,A2777,20260218,20260219,FOP,40,038,0,9623655,N,15174275,
HRA4,CASH COUPON CAD,'14799D9W9,,,,BUY,-78000,100,-78000,CAD,1,100,-78000,CAD,CA,0,0,-78000,1,Y,98558,CAN,98558,20260218,20260219,FOP,10,018,0,9620052,N,-22550000,
HRA4,HARVEST EQUAL WEIGHT GLOBA A,'41754C956,'BJ00P63,CA41754C1059,'HUTL,BUY,19056,20.12,383406.72,CAD,1,20.12,383406.72,CAD,CA,0,0,0,1,N,98558,CAN,98558,20260218,20260219,FOP,40,038,0,9620052,N,5520850,
HRA4,CASH COUPON CAD,'14799D9W9,,,,BUY,-78000,100,-78000,CAD,1,100,-78000,CAD,CA,0,0,-78000,1,Y,A2777,CAN,A2777,20260218,20260219,FOP,10,018,0,9619982,N,-22550000,
HRA4,HARVEST EQUAL WEIGHT GLOBA A,'41754C956,'BJ00P63,CA41754C1059,'HUTL,BUY,19056,20.12,383406.72,CAD,1,20.12,383406.72,CAD,CA,0,0,0,1,N,A2777,CAN,A2777,20260218,20260219,FOP,40,038,0,9619982,N,5520850,
HRQ1,AGNICO EAGLE MINES LTD,'008474959,'2009823,CA0084741085,'AEM,BUY,450,302.34,136053,CAD,1,302.34,136053,CAD,CA,0,0,0,1,N,90065,CAN,90065,20260218,20260219,FOP,40,031,0,9624273,N,100856,
HRQ1,BCE INC,'05534B950,'B188TH2,CA05534B7604,'BCE,BUY,1544,35.21,54364.24,CAD,1,35.21,54364.24,CAD,CA,0,0,0,1,N,90065,CAN,90065,20260218,20260219,FOP,40,031,0,9624273,N,345333,
HRQ1,CAMECO CORP,'13321L959,'2166160,CA13321L1085,'CCO,BUY,686,159.52,109430.72,CAD,1,159.52,109430.72,CAD,CA,0,0,0,1,N,90065,CAN,90065,20260218,20260219,FOP,40,031,0,9624273,N,153556,
HRQ1,CANADIAN NATURAL RESOURCES,'136385952,'2171573,CA1363851017,'CNQ,BUY,1386,57.09,79126.74,CAD,1,57.09,79126.74,CAD,CA,0,0,0,1,N,90065,CAN,90065,20260218,20260219,FOP,40,031,0,9624273,N,309955,
