"Fund","As of Date","Balance","Currency"
"HR2A","19 Feb 2026","0","CAD"
"HRTP","19 Feb 2026","2578963.8","CAD"
"HRAV","19 Feb 2026","0","PLN"
"HRV4","19 Feb 2026","59194.74","CAD"
"HRQU","19 Feb 2026","16323.17","CAD"
"HRQU","19 Feb 2026","0","USD"
"HRQR","19 Feb 2026","13693.58","CAD"
"HRQ1","19 Feb 2026","-85577.39","CAD"
"HRCF","19 Feb 2026","4787.48","CAD"
"HRTG","19 Feb 2026","0","ARS"
"HRTG","19 Feb 2026","85069.62","GBP"
"HRTG","19 Feb 2026","0","MXN"
"HRTG","19 Feb 2026","0","PHP"
"HRTG","19 Feb 2026","0","ZAR"
"HRV2","19 Feb 2026","65864.88","USD"
"HRA8","19 Feb 2026","111172.35","USD"
"HRT3","19 Feb 2026","113.89","CAD"
"HRVL","19 Feb 2026","196306.1","CAD"
"HRQP","19 Feb 2026","23704.32","USD"
"HRQA","19 Feb 2026","202771.09","CAD"
"HRA1","19 Feb 2026","135545.76","CAD"
"HRQL","19 Feb 2026","5716.38","CAD"
"HRQ5","19 Feb 2026","66269.08","USD"
"HRTR","19 Feb 2026","0","USD"
"HRQF","19 Feb 2026","2396.88","CAD"
"HRV7","19 Feb 2026","1583610.47","USD"
"HRTA","19 Feb 2026","0","USD"
"HRTM","19 Feb 2026","0","ARS"
"HRTM","19 Feb 2026","16146.52","CHF"
"HRTM","19 Feb 2026","0","HUF"
"HRTM","19 Feb 2026","0","IDR"
"HRTM","19 Feb 2026","0","NZD"
"HRCL","19 Feb 2026","135001.81","USD"
"HRTF","19 Feb 2026","617.7","GBP"
"HRVU","19 Feb 2026","27773.01","USD"
"HRTX","19 Feb 2026","16550.06","USD"
"HRV1","19 Feb 2026","2286104.16","USD"
"HRAV","19 Feb 2026","0","DKK"
"HRAV","19 Feb 2026","0","HKD"
"HRTG","19 Feb 2026","647.22","AUD"
"HRTG","19 Feb 2026","0","MAD"
"HRTG","19 Feb 2026","0","NOK"
"HRTG","19 Feb 2026","0","RON"
"HRTG","19 Feb 2026","0","RUB"
"HRVM","19 Feb 2026","0","USD"
"HRVX","19 Feb 2026","14699.99","CAD"
"HRV6","19 Feb 2026","2671.92","CAD"
"HRT4","19 Feb 2026","0","GBP"
"HRT3","19 Feb 2026","0","USD"
"HRTJ","19 Feb 2026","18894.09","USD"
"HRA4","19 Feb 2026","39922.22","CAD"
"HRVJ","19 Feb 2026","0","USD"
"HRTA","19 Feb 2026","0","CAD"
"HRTM","19 Feb 2026","0","CZK"
"HRTM","19 Feb 2026","0","KWD"
"HRTM","19 Feb 2026","0","MXN"
"HRTM","19 Feb 2026","0","PEN"
"HRVY","19 Feb 2026","6317.64","CAD"
"HRCL","19 Feb 2026","73174.33","CAD"
"HR20","19 Feb 2026","0","CAD"
"HRTF","19 Feb 2026","0","HKD"
"HRTF","19 Feb 2026","0","JPY"
"HRRA","19 Feb 2026","27706.78","USD"
"HRV8","19 Feb 2026","2669981.98","USD"
"HRTS","19 Feb 2026","757639.39","CAD"
"HRTX","19 Feb 2026","1053.85","HKD"
"HRTX","19 Feb 2026","0","MXN"
"HRQW","19 Feb 2026","20633.54","CAD"
"HRAV","19 Feb 2026","0","CHF"
"HRAV","19 Feb 2026","0","HUF"
"HRAV","19 Feb 2026","0","JPY"
"HRAV","19 Feb 2026","0","NOK"
"HRAV","19 Feb 2026","0","NZD"
"HRV3","19 Feb 2026","169267.84","USD"
"HRQR","19 Feb 2026","0","USD"
"HRT0","19 Feb 2026","45421.05","CAD"
"HRTG","19 Feb 2026","0","CZK"
"HRTG","19 Feb 2026","0","DKK"
"HRTG","19 Feb 2026","0","IDR"
"HRTG","19 Feb 2026","0","THB"
"HRAS","19 Feb 2026","9517045.12","CAD"
"HRTQ","19 Feb 2026","0","AUD"
"HRTQ","19 Feb 2026","0","SEK"
"HRVN","19 Feb 2026","0","USD"
"HRVP","19 Feb 2026","397610.92","USD"
"HRVS","19 Feb 2026","89279.98","USD"
"HRQE","19 Feb 2026","724342.3","USD"
"HRQB","19 Feb 2026","3272.43","CAD"
"HRQB","19 Feb 2026","52649.75","USD"
"HRQP","19 Feb 2026","40441.38","CAD"
"HRCG","19 Feb 2026","4866.88","CAD"
"HRT1","19 Feb 2026","83.72","CAD"
"HRTE","19 Feb 2026","0","CAD"
"HRVQ","19 Feb 2026","0","USD"
"HRQS","19 Feb 2026","16973.2","CAD"
"HRQS","19 Feb 2026","0","USD"
"HRQD","19 Feb 2026","4409.98","CAD"
"HRV7","19 Feb 2026","896746.48","CAD"
"HRT5","19 Feb 2026","0","CAD"
"HRT8","19 Feb 2026","0","AUD"
"HRT8","19 Feb 2026","0","CAD"
"HRTM","19 Feb 2026","0","AED"
"HRTM","19 Feb 2026","0","DKK"
"HRTM","19 Feb 2026","0","ISK"
