Client Fund,Trade ID,Transaction Type,FX Type,Trade Date,Contractual Settlement Date,FX Buy/Sell,Broker Name,Exchange Rate,Amount Bought,Currency Bought,Amount Sold,Currency Sold,Base Currency Code,Base Current Value,Unrealized Gain/Loss,Days Past Due,Period End Date
HRVG,26ASKBB4CXH,KSELL,F,01/29/2026,03/05/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,14561983.940000,CAD,10766000.000000,USD,CAD,14739114.380000,-177130.440000,0.000000,02/18/2026
HRVG,26ASKBB4D20,KSELL,F,01/29/2026,03/05/2026,S,TORONTO DOMINION BANK,0.730007,14585830.630000,CAD,10766000.000000,USD,CAD,14739114.380000,-153283.750000,0.000000,02/18/2026
HRVG,26BHKBB5XMZ,KSELL,F,02/11/2026,03/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,11139912.840000,CAD,8232000.000000,USD,CAD,11259930.510000,-120017.670000,0.000000,02/18/2026
HRVG,26BHKBB5S46,KSELL,F,02/11/2026,03/26/2026,S,TORONTO DOMINION BANK,0.730007,11133426.020000,CAD,8232000.000000,USD,CAD,11259930.510000,-126504.490000,0.000000,02/18/2026
HRV6,26BKJBC53W3,KSELL,S,02/17/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,21719855.310000,CAD,15596255.810000,USD,CAD,21364531.020000,355324.290000,0.000000,02/18/2026
HRV9,26BJJBCC9LN,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,17579478.240000,CAD,12619784.000000,USD,CAD,17287211.110000,292267.130000,0.000000,02/18/2026
HRV8,26BKJBC53W5,KSELL,S,02/17/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,75960061.850000,CAD,55288669.260000,USD,CAD,75737183.590000,222878.260000,0.000000,02/18/2026
HRQH,26BKJBC53W1,KSELL,S,02/17/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,15217599.920000,CAD,10889924.790000,USD,CAD,14917563.470000,300036.450000,0.000000,02/18/2026
HRA8,26BJJBCC9VR,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,8928001.910000,CAD,6462566.020000,USD,CAD,8852746.060000,75255.850000,0.000000,02/18/2026
HRQG,26BJJBCC9TQ,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,26613489.220000,CAD,19144808.970000,USD,CAD,26225516.570000,387972.650000,0.000000,02/18/2026
HRA7,26BJJBCC9MP,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,776665.750000,CAD,565441.110000,USD,CAD,774569.500000,2096.250000,0.000000,02/18/2026
HRTS,26BHKBB5S8N,KSELL,F,02/11/2026,03/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,32628090.200000,CAD,24111000.000000,USD,CAD,32979614.260000,-351524.060000,0.000000,02/18/2026
HRTR,26ASKBB4D7C,KSELL,F,01/29/2026,03/05/2026,S,TORONTO DOMINION BANK,0.730007,22029129.300000,CAD,16260000.000000,USD,CAD,22260635.310000,-231506.010000,0.000000,02/18/2026
HRTR,26ASKBB4BK0,KSELL,F,01/29/2026,03/05/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,21993113.400000,CAD,16260000.000000,USD,CAD,22260635.310000,-267521.910000,0.000000,02/18/2026
